###
### Lithology test points
###
### Peninsular Ranges(E)
-116.6 33.54 -500
-116.6 33.54 -30000
-116.6 33.54 -40000
-116.6 33.54 -50000
### Gulf Rifted Margin
-114.98 31.81 -500
-114.98 31.81 -5000
-114.98 31.81 -10000
-114.98 31.81 -20000
-114.98 31.81 -30000
### Peninsular Ranges(W)
-117.0 32.9 -500
-117.0 32.9 -30000
-117.0 32.9 -40000
-117.0 32.9 -50000
### Ocean Crust
-122.27 31.4 -500
-122.27 31.4 -3000
-122.27 31.4 -7000
-122.27 31.4 -40000
### Accretionary Prism(S)
-120.16 32.6 -500
-120.16 32.6 -5000
-120.16 32.6 -8000
-120.16 32.6 -11000
-120.16 32.6 -15000
-120.16 32.6 -20000
### Outer Borderland/Nicolas Terrane
-118.9 32.6 -500 
-118.9 32.6 -1000 
-118.9 32.6 -5500 
-118.9 32.6 -8500 
-118.9 32.6 -12000 
-118.9 32.6 -18000 
-118.9 32.6 -20000 
### Inner Borderland Rift
-117.56 31.93 -500
-117.56 31.93 -6000
-117.56 31.93 -11000
-117.56 31.93 -14000
-117.56 31.93 -18000
-117.56 31.93 -20000
### Mojavia
-116.74 34.7 -500
-116.74 34.7 -10000
-116.74 34.7 -15000
-116.74 34.7 -18000
-116.74 34.7 -25000
-116.74 34.7 -30000
### Rift Axis 1
-115.45 33.0 -500
-115.45 33.0 -1000
-115.45 33.0 -8000
-115.45 33.0 -13000
-115.45 33.0 -17000
-115.45 33.0 -20000
### Basin and Range
-114.03 34.39 -500
-114.03 34.39 -5000
-114.03 34.39 -10000
-114.03 34.39 -20000
-114.03 34.39 -25000
-114.03 34.39 -50000
### Rift Axis 2
-115.15 32.4 -500
-115.15 32.4 -1000
-115.15 32.4 -8000
-115.15 32.4 -13000
-115.15 32.4 -17000
-115.15 32.4 -20000
### San Gabriel
-118.70 34.37 -500
-118.70 34.37 -5000
-118.70 34.37 -15000
-118.70 34.37 -18000
-118.70 34.37 -25000
-118.70 34.37 -50000
### Western Transverse Ranges
-119.58 34.36 -500 
-119.58 34.36 -5000 
-119.58 34.36 -8000 
-119.58 34.36 -12000 
-119.58 34.36 -15000 
-119.58 34.36 -18000 
-119.58 34.36 -22000 
-119.58 34.36 -30000 
### Salina
-119.70 35.15 -500
-119.70 35.15 -5000
-119.70 35.15 -15000
-119.70 35.15 -18000
-119.70 35.15 -25000
-119.70 35.15 -30000
-119.70 35.15 -50000
### Accretionary Prism(N)
-121.16 34.5 -500
-121.16 34.5 -5000
-121.16 34.5 -8000
-121.16 34.5 -11000
-121.16 34.5 -15000
-121.16 34.5 -20000
### San Francisco Bay
-122.0 37.45 -500
-122.0 37.45 -5000
-122.0 37.45 -8000
-122.0 37.45 -11000
-122.0 37.45 -15000
-122.0 37.45 -20000
### Great Valley
-119.90 35.75 -500
-119.90 35.75 -5000
-119.90 35.75 -6000
-119.90 35.75 -9000
-119.90 35.75 -13000
-119.90 35.75 -15000
-119.90 35.75 -20000
-119.90 35.75 -25000
-119.90 35.75 -50000
### Southern Walker Lane
-117.3 36.23 -500
-117.3 36.23 -5000
-117.3 36.23 -10000
-117.3 36.23 -20000
-117.3 36.23 -25000
-117.3 36.23 -50000
### Sierra Nevada(E)
-118.20 35.75 -500
-118.20 35.75 -30000
-118.20 35.75 -35000
-118.20 35.75 -40000
-118.20 35.75 -50000
### Sierra Nevada(W)
-119.40 36.75 -500
-119.40 36.75 -30000
-119.40 36.75 -35000
-119.40 36.75 -40000
-119.40 36.75 -50000
### Santa Maria Rift
-121 35.24 -500
-121 35.24 -6000
-121 35.24 -11000
-121 35.24 -14000
-121 35.24 -20000
### Colorado Plateau
-113.56 36.0 -500
-113.56 36.0 -3000
-113.56 36.0 -12000
-113.56 36.0 -25000
-113.56 36.0 -40000
-113.56 36.0 -50000
### Rift Axis 3
-114.31 31.2 -500
-114.31 31.2 -1000
-114.31 31.2 -8000
-114.31 31.2 -13000
-114.31 31.2 -17000
-114.31 31.2 -20000
